Date,PlayerName,GIDP,playerid,Opp,Team,HomeAway,IP,H,R,ER,HR,BB,IBB,WP,BK,SO
2022-04-29,Madison Bumgarner,0,5524,@STL,ARI,A,5,3,1,1,1,1,0,0,0,2
2022-04-12,Madison Bumgarner,0,5524,HOU,ARI,H,5,5,1,1,1,2,0,0,0,2
2022-04-07,Madison Bumgarner,0,5524,SDP,ARI,H,3,1,1,1,0,4,0,0,0,2
2022-04-19,Corbin Burnes,0,19361,PIT,MIL,H,7,4,2,2,2,0,0,1,0,10
2022-04-13,Corbin Burnes,0,19361,@BAL,MIL,A,7,3,0,0,0,1,0,1,0,8
2022-04-07,Corbin Burnes,0,19361,@CHC,MIL,A,5,4,3,3,1,3,0,0,0,4
2022-04-30,Gerrit Cole,0,13125,@KCR,NYY,A,6,5,0,0,0,2,0,0,0,6
2022-04-19,Gerrit Cole,0,13125,@DET,NYY,A,1.2,1,2,2,0,5,0,0,0,3
2022-04-13,Gerrit Cole,0,13125,TOR,NYY,H,5.2,4,3,3,2,1,0,0,0,6
2022-04-29,Yu Darvish,0,13074,@PIT,SDP,A,6,8,3,3,0,1,0,0,0,5
2022-04-23,Yu Darvish,0,13074,LAD,SDP,H,6,1,0,0,0,3,0,0,0,7
2022-04-17,Yu Darvish,0,13074,ATL,SDP,H,6.2,4,1,1,1,0,0,0,0,8
2022-04-07,Yu Darvish,0,13074,@ARI,SDP,A,6,0,0,0,0,4,0,0,0,3
2022-04-21,Zach Davies,0,13183,@WSN,ARI,A,5,2,2,2,1,2,0,0,0,7
2022-04-15,Zach Davies,0,13183,@NYM,ARI,A,4.1,7,5,4,2,1,0,0,0,2
2022-04-30,Dane Dunning,0,19409,ATL,TEX,H,7.2,3,1,1,0,0,0,0,0,7
2022-04-25,Dane Dunning,0,19409,HOU,TEX,H,5.2,5,2,2,1,1,0,0,0,5
2022-04-20,Dane Dunning,0,19409,@SEA,TEX,A,4,6,3,3,0,3,0,0,0,3
2022-04-14,Dane Dunning,0,19409,LAA,TEX,H,3.2,6,2,2,1,2,0,0,0,7
2022-04-09,Dane Dunning,0,19409,@TOR,TEX,A,5,5,3,3,1,2,0,0,0,4
2022-04-30,Nathan Eovaldi,0,9132,@BAL,BOS,A,7,3,0,0,0,0,0,1,0,8
2022-04-19,Nathan Eovaldi,0,9132,TOR,BOS,H,4.2,7,1,1,1,1,0,0,0,6
2022-04-13,Nathan Eovaldi,0,9132,@DET,BOS,A,5,4,2,2,2,1,0,0,0,6
2022-04-08,Nathan Eovaldi,0,9132,@NYY,BOS,A,5,5,3,3,2,1,0,0,0,7
2022-04-16,Chris Flexen,0,13896,HOU,SEA,H,6,5,3,3,1,1,0,0,0,3
2022-04-11,Chris Flexen,0,13896,@MIN,SEA,A,4.1,5,3,3,0,3,0,0,0,3
2022-04-25,Kyle Freeland,0,16256,@PHI,COL,A,5,6,4,1,1,1,0,1,0,7
2022-04-08,Kyle Freeland,0,16256,LAD,COL,H,3.2,5,5,5,0,2,0,1,0,6
2022-04-13,Max Fried,0,13743,WSN,ATL,H,5.1,7,3,2,0,0,0,2,0,4
2022-04-26,Kevin Gausman,0,14107,BOS,TOR,H,6,4,1,0,0,0,0,0,0,9
